Type,Species,DBH
Tree,Red maple,38.4
Tree,Red oak,38.6
Tree,Red pine,38.9
Tree,Sugar maple,39.1
Tree,not recorded,39.5
Tree,Red pine,39.5
Tree,Red pine,39.7
Tree,Red pine,40.2
Tree,Sugar maple,40.3
Tree,White oak,40.6
Tree,not recorded,40.8
Tree,Sugar maple,40.8
Tree,Red pine,40.8
Tree,Red pine,40.8
Tree,Red pine,40.8
Tree,Sugar maple,41
Tree,Sugar maple,41.3
Tree,Red pine,42
Tree,Red pine,42.1
Tree,Sugar maple,42.5
Tree,Red pine,42.7
Tree,Red pine,43
Tree,Red pine,43
Tree,Red maple,43.5
Tree,Red pine,43.5
Tree,Yellow birch,44.3
Tree,Unknown1,45.9
Tree,Red pine,46.2
Tree,White pine,47.1
Tree,White oak,47.2
Tree,not recorded,50.9
Tree,Basswood,52.7
Tree,Red pine,54.9
Tree,not recorded,59.5
Tree,Sugar maple,63.9
Tree,Sugar maple,66
Tree,Sugar maple,74.5
Tree,Sugar maple,75.3
